"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","boot.ci.lower","boot.ci.upper","boot.se"
"1","PDS","~","Intrusive",0.270470737548617,0.0351478922273648,7.69521926945137,1.4210854715202e-14,0.201582134650487,0.339359340446747,0.197581329407183,0.34003788852196,0.0353334375908398
"2","PDS","~","Avoidence",0.0647679948553936,0.0314957230949347,2.05640602884935,0.0397433956691398,0.00303751192227511,0.126498477788512,-0.0110854140931914,0.11175391045133,0.031575182866084
"3","PDS","~","Negative.mood",0.392790971993708,0.035339554086945,11.1147687666724,0,0.32352671875359,0.462055225233825,0.326085533725904,0.468268976114706,0.035240299008323
"4","PDS","~","Hyperarousal",0.205747557192479,0.0633442568904704,3.24808541914447,0.00116184385594487,0.0815950950597037,0.329900019325254,0.0583286747395224,0.307049171268951,0.0641075022885546
"5","Intrusive","~~","Avoidence",0.489279924255607,0.0751711452412154,6.5088794734411,7.5713435521152e-11,0.341947186906195,0.636612661605019,0.30930363865249,0.63436643177029,0.0830272987790151
"6","Intrusive","~~","Negative.mood",0.642071955101523,0.0561689088275478,11.4310918353932,0,0.531982916748616,0.752160993454431,0.506081751340002,0.747965453324108,0.0619512268780249
"7","Intrusive","~~","Hyperarousal",0.707642692613154,0.0433140076166698,16.3375021511704,0,0.622748797658388,0.792536587567921,0.603420341887911,0.790719728690931,0.0476163373661974
"8","VAS","~~","Intrusive",0.321333053120718,0.0808694286796913,3.97347994621624,7.08301241554299e-05,0.162831885458192,0.479834220783243,0.148546359891387,0.497928736456993,0.0882065297836311
"9","Intrusive","~~","GAD",0.587248475726858,0.0643175029784546,9.13046136016159,0,0.461188486313539,0.713308465140176,0.433440807988463,0.711543290699118,0.0701244415598291
"10","Intrusive","~~","PHQ",0.467143609116852,0.0743547224036992,6.2826353729163,3.3288127809783e-10,0.321411031125129,0.612876187108576,0.300165927051173,0.623964726277485,0.0827793589190663
"11","Avoidence","~~","Negative.mood",0.621180188414786,0.0526399905754996,11.8005376069331,0,0.518007702740279,0.724352674089293,0.499989647524848,0.724282468810051,0.0580157772573804
"12","Avoidence","~~","Hyperarousal",0.498366758446722,0.0677727408909183,7.35349864702763,1.93178806284777e-13,0.365534627166957,0.631198889726487,0.342525869321516,0.632622175425987,0.0747592020465866
"13","VAS","~~","Avoidence",0.203582818951184,0.0873458927595812,2.33076579240588,0.019765712806161,0.0323880149449075,0.374777622957461,0.0143482784204099,0.392713679956547,0.0955834061354164
"14","Avoidence","~~","GAD",0.40528100052816,0.0702355737356394,5.77030953080277,7.91260545973671e-09,0.2676218055728,0.542940195483521,0.236775606309675,0.53902651155642,0.0771728435064051
"15","Avoidence","~~","PHQ",0.361526994920604,0.0736772665776255,4.90690021106718,9.25270783991294e-07,0.217122205949101,0.505931783892107,0.201869475624702,0.522317763592367,0.0812731681534317
"16","Negative.mood","~~","Hyperarousal",0.674874607256406,0.0467966013069295,14.4214449000268,0,0.583154954095945,0.766594260416868,0.56705062949376,0.767621390132792,0.051270589543011
"17","VAS","~~","Negative.mood",0.256767473090075,0.0854430846421868,3.00512878444581,0.00265468421478809,0.0893021044633817,0.424232841716769,0.069338110014854,0.433661820821555,0.0930526235001923
"18","Negative.mood","~~","GAD",0.597374453715906,0.0606223465207137,9.8540305349578,0,0.478556837877,0.716192069554811,0.454104458301769,0.71354084918298,0.065898735107163
"19","Negative.mood","~~","PHQ",0.445591194537627,0.0831346361999355,5.35987423420002,8.32799076366797e-08,0.282650301717913,0.60853208735734,0.272095953401222,0.632299301488546,0.0916199589931116
"20","VAS","~~","Hyperarousal",0.256501820241064,0.085023449602186,3.01683619567547,0.0025542779812473,0.0898589211794231,0.423144719302705,0.0769727109612604,0.43610354718096,0.092020064453465
"21","Hyperarousal","~~","GAD",0.600139266926077,0.0627540126673566,9.56336083410739,0,0.477143662212688,0.723134871639466,0.451192243309003,0.716052658462155,0.0675570381861898
"22","Hyperarousal","~~","PHQ",0.396712287888803,0.090011989019235,4.40732720397977,1.04654031267692e-05,0.220292031234287,0.573132544543318,0.214723630522771,0.61043012605961,0.0989374473305789
"23","VAS","~~","GAD",0.343392658193249,0.082983653766232,4.13807590541384,3.50230514223338e-05,0.180747685505893,0.506037630880606,0.16547579204646,0.518671854505893,0.0893491697173379
"24","VAS","~~","PHQ",0.284748147583707,0.0901298961442328,3.15930850655848,0.00158143988587556,0.108096797210676,0.461399497956739,0.0978342092063284,0.48704943210756,0.0996362912244293
"25","GAD","~~","PHQ",0.604096265288199,0.0688955446160587,8.76829218282123,0,0.469063479145452,0.739129051430947,0.471104691163154,0.754859775165844,0.0743784375186847
"26","VAS","~","Alcohol.vs..all",0.0426645133589937,0.0879684372805319,0.484997968338761,0.627677786676846,-0.129750455487119,0.215079482205107,-0.133226226151013,0.20648247850101,0.0865401093520001
"27","Intrusive","~","Alcohol.vs..all",0.23032754926545,0.0756197669920984,3.04586430806533,0.00232012515842617,0.082115529441626,0.378539569089273,0.0747817238680569,0.369760639227633,0.074418927956478
"28","Avoidence","~","Alcohol.vs..all",0.128831320322147,0.0750455112604438,1.71670920962935,0.0860323165847565,-0.0182551789497179,0.275917819594012,-0.0195121714003679,0.275810618721716,0.0742903691303738
"29","Negative.mood","~","Alcohol.vs..all",0.146386109468939,0.0753920130018112,1.94166601527701,0.0521775454233699,-0.00137952073658634,0.294151739674464,-0.00480907083283822,0.287862447923663,0.0744877375463647
"30","Hyperarousal","~","Alcohol.vs..all",0.158737487761912,0.0692594193730732,2.29192634299828,0.0219098938635125,0.022991520200533,0.294483455323291,0.0218601993029087,0.294392877202946,0.0684688110533487
"31","Dissociation","~","Alcohol.vs..all",0.199426406809984,0.0967803445878315,2.06060856322946,0.0393403991470143,0.00974041700645795,0.389112396613509,0.00496814199173092,0.37577279068884,0.095479583936631
"32","GAD","~","Alcohol.vs..all",0.204091743938221,0.0742250263498992,2.74963518336963,0.00596616476498535,0.0586133655408818,0.34957012233556,0.0494825900462426,0.336773239964328,0.0732418140386312
"33","PHQ","~","Alcohol.vs..all",0.243369130939336,0.0858898219320335,2.83350373146563,0.00460407704425259,0.0750281733139917,0.41171008856468,0.0367212326009491,0.381437862029616,0.0867825589453693
"34","Alcohol.vs..all","~","SEX.cod",0.0502145284854426,0.0890896559166148,0.563640390893887,0.572998892515307,-0.124397988506188,0.224827045477073,-0.123053329926743,0.222199535063172,0.0894396178796198
"35","Alcohol.vs..all","~","Age",-0.0737495521061645,0.0750192860508408,-0.983074566401287,0.325570740830255,-0.220784650911721,0.0732855466993916,-0.220332735138277,0.0763037549693125,0.0750334042507396
"36","VAS","~","dosa.vs..all",-0.0848607152289065,0.0976075733407884,-0.869407079024726,0.384624512484309,-0.276168043595204,0.106446613137391,-0.273882025052208,0.0955603453213174,0.0937231646951968
"37","Intrusive","~","dosa.vs..all",0.0806376017445551,0.0698340909316036,1.15470253380305,0.248212261570311,-0.0562347013744831,0.217509904863593,-0.0470315872213617,0.216223819175182,0.067412181223133
"38","Avoidence","~","dosa.vs..all",-0.0787696451018049,0.098608126825116,-0.79881494191148,0.424397725210004,-0.27203802226199,0.11449873205838,-0.257186083776615,0.114321740462926,0.0953309027752069
"39","Negative.mood","~","dosa.vs..all",-0.0453127036285517,0.0660611948856534,-0.685920133703067,0.492763473177722,-0.174790266380114,0.0841648591230104,-0.174532380901355,0.0821224501895894,0.0640194034134305
"40","Hyperarousal","~","dosa.vs..all",-0.00228869884930202,0.0640240890046768,-0.0357474645072238,0.971483723513504,-0.127773607441455,0.123196209742851,-0.128820118275029,0.118777577789797,0.061786513825352
"41","Dissociation","~","dosa.vs..all",0.0448712503465582,0.0836716602055635,0.536277758040406,0.591766600131656,-0.119122190183019,0.208864690876136,-0.105528128336238,0.21143379658509,0.0802118589477204
"42","GAD","~","dosa.vs..all",0.0766519126899294,0.0748147370195355,1.02455633400027,0.305572577035261,-0.0699822773811956,0.223286102761054,-0.0672011927627761,0.219287335389358,0.0720826892345463
"43","PHQ","~","dosa.vs..all",0.0825135963835443,0.0972817561999125,0.84819188722272,0.396331114628846,-0.10815514212109,0.273182334888179,-0.0848024016577402,0.277847772780171,0.0944132717994091
"44","dosa.vs..all","~","SEX.cod",0.0537494601114317,0.0895185279266422,0.600428328708418,0.54822081285932,-0.12170363057383,0.229202550796693,-0.114050965396779,0.231966568474303,0.0902188453337938
"45","dosa.vs..all","~","Age",-0.0636713814943916,0.0402809001202034,-1.58068417796991,0.113950267821073,-0.142620494994845,0.0152777320060622,-0.14836008863394,0.00775993260562808,0.0394800787108715
"46","VAS","~","Canabis.vd.all",-2.73209395006823e-05,0.0862626268121627,-0.000316718149102667,0.99974729548293,-0.169098962703159,0.169044320824157,-0.170508410894786,0.163642957083755,0.0847099279420825
"47","Intrusive","~","Canabis.vd.all",0.0379341498920781,0.0620620412503835,0.611229491131888,0.541047662085555,-0.0837052157657127,0.159573515549869,-0.0895617558622791,0.15472460894585,0.0611264934565145
"48","Avoidence","~","Canabis.vd.all",0.0686201481930639,0.0829144659456691,0.827601642372372,0.407896137841547,-0.0938892188578203,0.231129515243948,-0.0998175930270227,0.222502841188254,0.0819186270850985
"49","Negative.mood","~","Canabis.vd.all",0.011052225736901,0.0715788665467074,0.154406269198033,0.877289410834575,-0.129239774748844,0.151344226222646,-0.131831804153096,0.141784099530346,0.071279539191393
"50","Hyperarousal","~","Canabis.vd.all",0.0844278365696429,0.0642224275082278,1.31461609044327,0.188638959654568,-0.0414458083462181,0.210301481485504,-0.047511243401172,0.20513384417191,0.0639077659873875
"51","Dissociation","~","Canabis.vd.all",-0.0976001581325769,0.0780690165547214,-1.25017788669293,0.211234572874595,-0.250612618888292,0.0554123026231383,-0.245479971299966,0.0556650783450131,0.0767671125924273
"52","GAD","~","Canabis.vd.all",0.067710202499508,0.0680193779999678,0.995454596770057,0.319515216153501,-0.065605328631245,0.201025733630261,-0.0768202321494817,0.188765662374358,0.0671317275102829
"53","PHQ","~","Canabis.vd.all",0.108466984290671,0.0748566289093286,1.44899637976021,0.14733859358895,-0.0382493123756932,0.255183280957034,-0.0397413530083647,0.244124404267722,0.0729643418474352
"54","Canabis.vd.all","~","SEX.cod",-0.0531905618382276,0.0854164915820654,-0.622720049173687,0.533468505198014,-0.220603809024844,0.114222685348389,-0.21778905448383,0.117316413382082,0.0855174161000418
"55","Canabis.vd.all","~","Age",-0.0167264051958063,0.0629863205040476,-0.26555615666947,0.790581055345336,-0.140177324902436,0.106724514510824,-0.143076388228335,0.105735764678027,0.0625816891502224
"56","VAS","~","DOCTOR.vs..all",-0.0525355267898807,0.0921040294285012,-0.570393359724432,0.568410932314316,-0.23305610730076,0.127985053720999,-0.220503106006914,0.106976700715248,0.085243650408138
"57","Intrusive","~","DOCTOR.vs..all",0.136687495794483,0.0560365705758955,2.43925519334476,0.0147175708294689,0.0268578356485912,0.246517155940375,0.0296648374536676,0.236326043759116,0.0533425902147461
"58","Avoidence","~","DOCTOR.vs..all",-0.0195432307879695,0.0908940349915737,-0.21501114775883,0.829758627164877,-0.197692265780977,0.158605804205038,-0.185749232482577,0.138639400016391,0.0834969078029013
"59","Negative.mood","~","DOCTOR.vs..all",0.118177667482584,0.0642224543941576,1.84013003858872,0.0657491481655921,-0.00769603012873157,0.244051365093899,-0.00318305028835112,0.230466611209458,0.0605813059766632
"60","Hyperarousal","~","DOCTOR.vs..all",0.268991571485726,0.0623570728797258,4.31372992771095,1.6052302576508e-05,0.146773954460124,0.391209188511328,0.134350033786351,0.380257097263005,0.0619987609971124
"61","Dissociation","~","DOCTOR.vs..all",-0.0788175712733848,0.0739461865404546,-1.06587743007228,0.28647905288154,-0.223749433686756,0.0661142911399866,-0.224393537618067,0.0433821669959704,0.0687168710100233
"62","GAD","~","DOCTOR.vs..all",0.148517245931985,0.0659020792418494,2.25360485800382,0.0242210374506386,0.0193515441116551,0.277682947752314,0.0193161158629351,0.263754874593267,0.0623391008391943
"63","PHQ","~","DOCTOR.vs..all",0.131607028088997,0.06908381094189,1.90503428074776,0.0567756151219931,-0.00379475327188117,0.267008809449876,0.00258676891237535,0.256887679382253,0.0657107636891021
"64","DOCTOR.vs..all","~","SEX.cod",0.0752757810129877,0.0912659310195665,0.824796067624065,0.409487379595253,-0.10360215680088,0.254153718826855,-0.107326754761896,0.252439731609529,0.0919050343553074
"65","DOCTOR.vs..all","~","Age",-0.0235477779134307,0.0313318043686848,-0.751561500778614,0.4523148029452,-0.0849569860467077,0.0378614302198463,-0.0864284146518106,0.0355121745104176,0.0305760416283614
"66","VAS","~","MDMA.vs.all",-0.0794785756524363,0.0847173244970233,-0.938162012602616,0.348161157054953,-0.245521480533195,0.0865643292283222,-0.23306593662079,0.0884808799971736,0.0831474519126616
"67","Intrusive","~","MDMA.vs.all",-0.00632377018468571,0.07625750682238,-0.0829265268193874,0.933909961329732,-0.155785737107368,0.143138196737996,-0.15426815338357,0.143383266112551,0.0747611721855314
"68","Avoidence","~","MDMA.vs.all",-0.0461606019896801,0.0873508108763608,-0.528450755368685,0.597186517683326,-0.217365045327717,0.125043841348357,-0.212160961611704,0.124367413941559,0.0861333880255427
"69","Negative.mood","~","MDMA.vs.all",0.103329314232229,0.0572374484701576,1.8052746408866,0.071031715880395,-0.00885402333624703,0.215512651800705,-0.00864603974866949,0.213201514725533,0.0565240414063142
"70","Hyperarousal","~","MDMA.vs.all",0.0668552626904539,0.06209554691004,1.07665148335531,0.281635994767597,-0.0548497728535419,0.18856029823445,-0.0478567828254361,0.194350894895975,0.0612745552495801
"71","Dissociation","~","MDMA.vs.all",0.109580533562118,0.0829789143372045,1.32058287864326,0.186640484771667,-0.0530551500150373,0.272216217139273,-0.0575455360342375,0.264707500839247,0.0815984511345241
"72","GAD","~","MDMA.vs.all",0.0075358412905088,0.0724993167303089,0.103943618097002,0.917214092323378,-0.134560208404659,0.149631890985676,-0.126723935593032,0.151651456846094,0.0713254317269038
"73","PHQ","~","MDMA.vs.all",-0.068788403868896,0.0624347217914368,-1.10176520204068,0.270563762288936,-0.19115820996489,0.0535814022270982,-0.192935816267587,0.0509641000260508,0.0620104189148777
"74","MDMA.vs.all","~","SEX.cod",-0.122507568065914,0.0799768834260191,-1.53178722173185,0.125574950355064,-0.27925937917667,0.0342442430448416,-0.270765190879419,0.0449883752637872,0.0803162277923821
"75","MDMA.vs.all","~","Age",-0.0160280128309253,0.0547396243549831,-0.292804582051653,0.769671525711863,-0.123315705093944,0.0912596794320932,-0.127801260552034,0.0867207451420662,0.0541910055578011
"76","VAS","~","LSD.vs.all",0.00604217147391056,0.0777735398173558,0.0776892949465854,0.93807520976346,-0.146391165518299,0.15847550846612,-0.147613954054533,0.150123285493901,0.0754822144785556
"77","Intrusive","~","LSD.vs.all",-0.019819989473539,0.0661101015004076,-0.29980273851821,0.764327626324615,-0.149393407428625,0.109753428481547,-0.147631397600711,0.102585339691464,0.064177319865003
"78","Avoidence","~","LSD.vs.all",0.110378815655813,0.0794281483477393,1.38966875033483,0.164629488317838,-0.045297494464461,0.266055125776086,-0.0473933822416135,0.254988334314744,0.077583039740766
"79","Negative.mood","~","LSD.vs.all",0.0830762793518981,0.0741059214452568,1.12104778851266,0.262267521246535,-0.0621686577219596,0.228321216425756,-0.0679752858238844,0.216383942030089,0.0726471283022403
"80","Hyperarousal","~","LSD.vs.all",0.123745230150494,0.0578933943168918,2.13746717757034,0.0325600125813428,0.01027626234661,0.237214197954377,0.00241928734143689,0.230468987603943,0.056708048711227
"81","Dissociation","~","LSD.vs.all",0.11286176275342,0.0975998286300739,1.15637255041905,0.247528804370016,-0.0784303862588057,0.304153911765646,-0.0724569590105604,0.286257966209725,0.0946651107268851
"82","GAD","~","LSD.vs.all",0.0579477879834679,0.0603475923622284,0.96023363509921,0.336937642219216,-0.0603313196002042,0.17622689556714,-0.0632394116416767,0.16611402280863,0.059388289928239
"83","PHQ","~","LSD.vs.all",0.07568212261716,0.108273266769573,0.698991772163174,0.484557172796647,-0.136529580739701,0.287893825974021,-0.127268605606086,0.25740895736935,0.10398622942817
"84","LSD.vs.all","~","SEX.cod",0.0503173508608031,0.088120824380256,0.571004086885018,0.567996872503384,-0.122396291212478,0.223030992934084,-0.121244292328643,0.222807574292445,0.088208037050312
"85","LSD.vs.all","~","Age",0.101745380941495,0.0674786271106489,1.50781640495822,0.131601522314178,-0.0305102979215847,0.234001059804575,-0.0223599545415809,0.239295332657158,0.0677223511744
"86","VAS","~","Cocaine.vs.all",0.113731685619922,0.0616191676260055,1.8457192786214,0.0649329764867079,-0.00703966368438516,0.234503034924229,-0.00498629501504147,0.221509214030684,0.0580378325440016
